Год,Муниципалитет,Пол,Возрастная группа,Причина смерти,Стандартный вес группы,Число умерших,Численность населения
2018,Район 2,Женщины,55-59,Болезни сердца,"6,5",2,91
2018,Район 2,Женщины,55-59,Другие болезни органов дыхания,"6,5",0,91
2018,Район 2,Женщины,55-59,Другие болезни системы кровообращения,"6,5",0,91
2018,Район 2,Женщины,55-59,Острые респираторные заболевания,"6,5",0,91
2018,Район 2,Женщины,60-64,Болезни сердца,6,0,81
2018,Район 2,Женщины,60-64,Другие болезни органов дыхания,6,0,81
2018,Район 2,Женщины,60-64,Другие болезни системы кровообращения,6,0,81
2018,Район 2,Женщины,60-64,Острые респираторные заболевания,6,0,81
2018,Район 2,Женщины,65-69,Болезни сердца,"5,5",0,41
2018,Район 2,Женщины,65-69,Другие болезни органов дыхания,"5,5",0,41
2018,Район 2,Женщины,65-69,Другие болезни системы кровообращения,"5,5",1,41
2018,Район 2,Женщины,65-69,Острые респираторные заболевания,"5,5",0,41
2018,Район 2,Женщины,70-74,Болезни сердца,5,1,22
2018,Район 2,Женщины,70-74,Другие болезни органов дыхания,5,0,22
2018,Район 2,Женщины,70-74,Другие болезни системы кровообращения,5,0,22
2018,Район 2,Женщины,70-74,Острые респираторные заболевания,5,0,22
2018,Район 2,Женщины,75-79,Болезни сердца,4,0,22
2018,Район 2,Женщины,75-79,Другие болезни органов дыхания,4,0,22
2018,Район 2,Женщины,75-79,Другие болезни системы кровообращения,4,0,22
2018,Район 2,Женщины,75-79,Острые респираторные заболевания,4,0,22
2018,Район 2,Женщины,80-84,Болезни сердца,"2,5",0,6
2018,Район 2,Женщины,80-84,Другие болезни органов дыхания,"2,5",0,6
2018,Район 2,Женщины,80-84,Другие болезни системы кровообращения,"2,5",0,6
2018,Район 2,Женщины,80-84,Острые респираторные заболевания,"2,5",0,6
2018,Район 2,Женщины,85+,Болезни сердца,"2,5",0,2
2018,Район 2,Женщины,85+,Другие болезни органов дыхания,"2,5",0,2
2018,Район 2,Женщины,85+,Другие болезни системы кровообращения,"2,5",0,2
2018,Район 2,Женщины,85+,Острые респираторные заболевания,"2,5",0,2
2018,Район 2,Женщины,до 1,Болезни сердца,1,0,30
2018,Район 2,Женщины,до 1,Другие болезни органов дыхания,1,0,30
2018,Район 2,Женщины,до 1,Другие болезни системы кровообращения,1,0,30
2018,Район 2,Женщины,до 1,Острые респираторные заболевания,1,0,30
2018,Район 2,Мужчины,1-4,Болезни сердца,4,0,103
2018,Район 2,Мужчины,1-4,Другие болезни органов дыхания,4,0,103
2018,Район 2,Мужчины,1-4,Другие болезни системы кровообращения,4,0,103
2018,Район 2,Мужчины,1-4,Острые респираторные заболевания,4,0,103
2018,Район 2,Мужчины,10-14,Болезни сердца,"5,5",0,116
2018,Район 2,Мужчины,10-14,Другие болезни органов дыхания,"5,5",0,116
2018,Район 2,Мужчины,10-14,Другие болезни системы кровообращения,"5,5",0,116
2018,Район 2,Мужчины,10-14,Острые респираторные заболевания,"5,5",0,116
2018,Район 2,Мужчины,15-19,Болезни сердца,"5,5",0,91
2018,Район 2,Мужчины,15-19,Другие болезни органов дыхания,"5,5",0,91
2018,Район 2,Мужчины,15-19,Другие болезни системы кровообращения,"5,5",0,91
2018,Район 2,Мужчины,15-19,Острые респираторные заболевания,"5,5",0,91
2018,Район 2,Мужчины,20-24,Болезни сердца,6,0,97
2018,Район 2,Мужчины,20-24,Другие болезни органов дыхания,6,0,97
2018,Район 2,Мужчины,20-24,Другие болезни системы кровообращения,6,0,97
2018,Район 2,Мужчины,20-24,Острые респираторные заболевания,6,0,97
2018,Район 2,Мужчины,25-29,Болезни сердца,6,0,43
2018,Район 2,Мужчины,25-29,Другие болезни органов дыхания,6,0,43
2018,Район 2,Мужчины,25-29,Другие болезни системы кровообращения,6,0,43
2018,Район 2,Мужчины,25-29,Острые респираторные заболевания,6,0,43
2018,Район 2,Мужчины,30-34,Болезни сердца,"6,5",0,96
2018,Район 2,Мужчины,30-34,Другие болезни органов дыхания,"6,5",0,96
2018,Район 2,Мужчины,30-34,Другие болезни системы кровообращения,"6,5",0,96
2018,Район 2,Мужчины,30-34,Острые респираторные заболевания,"6,5",0,96
2018,Район 2,Мужчины,35-39,Болезни сердца,7,0,97
2018,Район 2,Мужчины,35-39,Другие болезни органов дыхания,7,0,97
2018,Район 2,Мужчины,35-39,Другие болезни системы кровообращения,7,0,97
2018,Район 2,Мужчины,35-39,Острые респираторные заболевания,7,0,97
2018,Район 2,Мужчины,40-44,Болезни сердца,7,0,94
2018,Район 2,Мужчины,40-44,Другие болезни органов дыхания,7,0,94
2018,Район 2,Мужчины,40-44,Другие болезни системы кровообращения,7,0,94
2018,Район 2,Мужчины,40-44,Острые респираторные заболевания,7,0,94
2018,Район 2,Мужчины,45-49,Болезни сердца,7,0,94
2018,Район 2,Мужчины,45-49,Другие болезни органов дыхания,7,0,94
2018,Район 2,Мужчины,45-49,Другие болезни системы кровообращения,7,0,94
2018,Район 2,Мужчины,45-49,Острые респираторные заболевания,7,0,94
2018,Район 2,Мужчины,5-9,Болезни сердца,"5,5",0,232
2018,Район 2,Мужчины,5-9,Другие болезни органов дыхания,"5,5",0,232
2018,Район 2,Мужчины,5-9,Другие болезни системы кровообращения,"5,5",0,232
2018,Район 2,Мужчины,5-9,Острые респираторные заболевания,"5,5",0,232
2018,Район 2,Мужчины,50-54,Болезни сердца,7,0,92
2018,Район 2,Мужчины,50-54,Другие болезни органов дыхания,7,0,92
2018,Район 2,Мужчины,50-54,Другие болезни системы кровообращения,7,0,92
2018,Район 2,Мужчины,50-54,Острые респираторные заболевания,7,0,92
2018,Район 2,Мужчины,55-59,Болезни сердца,"6,5",0,91
2018,Район 2,Мужчины,55-59,Другие болезни органов дыхания,"6,5",0,91
2018,Район 2,Мужчины,55-59,Другие болезни системы кровообращения,"6,5",0,91
2018,Район 2,Мужчины,55-59,Острые респираторные заболевания,"6,5",0,91
2018,Район 2,Мужчины,60-64,Болезни сердца,6,3,95
2018,Район 2,Мужчины,60-64,Другие болезни органов дыхания,6,0,95
2018,Район 2,Мужчины,60-64,Другие болезни системы кровообращения,6,0,95
2018,Район 2,Мужчины,60-64,Острые респираторные заболевания,6,0,95
2018,Район 2,Мужчины,65-69,Болезни сердца,"5,5",0,60
2018,Район 2,Мужчины,65-69,Другие болезни органов дыхания,"5,5",0,60
2018,Район 2,Мужчины,65-69,Другие болезни системы кровообращения,"5,5",0,60
2018,Район 2,Мужчины,65-69,Острые респираторные заболевания,"5,5",0,60
2018,Район 2,Мужчины,70-74,Болезни сердца,5,0,47
2018,Район 2,Мужчины,70-74,Другие болезни органов дыхания,5,0,47
2018,Район 2,Мужчины,70-74,Другие болезни системы кровообращения,5,0,47
2018,Район 2,Мужчины,70-74,Острые респираторные заболевания,5,0,47
2018,Район 2,Мужчины,75-79,Болезни сердца,4,0,47
2018,Район 2,Мужчины,75-79,Другие болезни органов дыхания,4,0,47
2018,Район 2,Мужчины,75-79,Другие болезни системы кровообращения,4,0,47
2018,Район 2,Мужчины,75-79,Острые респираторные заболевания,4,0,47
2018,Район 2,Мужчины,80-84,Болезни сердца,"2,5",0,16
2018,Район 2,Мужчины,80-84,Другие болезни органов дыхания,"2,5",0,16
2018,Район 2,Мужчины,80-84,Другие болезни системы кровообращения,"2,5",0,16
2018,Район 2,Мужчины,80-84,Острые респираторные заболевания,"2,5",0,16
2018,Район 2,Мужчины,85+,Болезни сердца,"2,5",0,11
2018,Район 2,Мужчины,85+,Другие болезни органов дыхания,"2,5",0,11
2018,Район 2,Мужчины,85+,Другие болезни системы кровообращения,"2,5",0,11
2018,Район 2,Мужчины,85+,Острые респираторные заболевания,"2,5",0,11
2018,Район 2,Мужчины,до 1,Болезни сердца,1,0,14
2018,Район 2,Мужчины,до 1,Другие болезни органов дыхания,1,0,14
2018,Район 2,Мужчины,до 1,Другие болезни системы кровообращения,1,0,14
2018,Район 2,Мужчины,до 1,Острые респираторные заболевания,1,0,14
2018,Район 3,Женщины,1-4,Болезни сердца,4,0,854
2018,Район 3,Женщины,1-4,Другие болезни органов дыхания,4,0,854
2018,Район 3,Женщины,1-4,Другие болезни системы кровообращения,4,0,854
2018,Район 3,Женщины,1-4,Острые респираторные заболевания,4,0,854
2018,Район 3,Женщины,10-14,Болезни сердца,"5,5",0,869
2018,Район 3,Женщины,10-14,Другие болезни органов дыхания,"5,5",0,869
2018,Район 3,Женщины,10-14,Другие болезни системы кровообращения,"5,5",0,869
2018,Район 3,Женщины,10-14,Острые респираторные заболевания,"5,5",0,869
2018,Район 3,Женщины,15-19,Болезни сердца,"5,5",0,667
2018,Район 3,Женщины,15-19,Другие болезни органов дыхания,"5,5",0,667
2018,Район 3,Женщины,15-19,Другие болезни системы кровообращения,"5,5",0,667
2018,Район 3,Женщины,15-19,Острые респираторные заболевания,"5,5",0,667
2018,Район 3,Женщины,20-24,Болезни сердца,6,0,601
2018,Район 3,Женщины,20-24,Другие болезни органов дыхания,6,0,601
2018,Район 3,Женщины,20-24,Другие болезни системы кровообращения,6,0,601
2018,Район 3,Женщины,20-24,Острые респираторные заболевания,6,0,601
2018,Район 3,Женщины,25-29,Болезни сердца,6,0,870
2018,Район 3,Женщины,25-29,Другие болезни органов дыхания,6,0,870
2018,Район 3,Женщины,25-29,Другие болезни системы кровообращения,6,0,870
2018,Район 3,Женщины,25-29,Острые респираторные заболевания,6,0,870
2018,Район 3,Женщины,30-34,Болезни сердца,"6,5",0,1232
2018,Район 3,Женщины,30-34,Другие болезни органов дыхания,"6,5",0,1232
2018,Район 3,Женщины,30-34,Другие болезни системы кровообращения,"6,5",0,1232
2018,Район 3,Женщины,30-34,Острые респираторные заболевания,"6,5",0,1232
2018,Район 3,Женщины,35-39,Болезни сердца,7,0,1166
2018,Район 3,Женщины,35-39,Другие болезни органов дыхания,7,0,1166
2018,Район 3,Женщины,35-39,Другие болезни системы кровообращения,7,0,1166
2018,Район 3,Женщины,35-39,Острые респираторные заболевания,7,0,1166
2018,Район 3,Женщины,40-44,Болезни сердца,7,0,991
2018,Район 3,Женщины,40-44,Другие болезни органов дыхания,7,0,991
2018,Район 3,Женщины,40-44,Другие болезни системы кровообращения,7,0,991
2018,Район 3,Женщины,40-44,Острые респираторные заболевания,7,0,991
2018,Район 3,Женщины,45-49,Болезни сердца,7,0,753
2018,Район 3,Женщины,45-49,Другие болезни органов дыхания,7,0,753
2018,Район 3,Женщины,45-49,Другие болезни системы кровообращения,7,0,753
2018,Район 3,Женщины,45-49,Острые респираторные заболевания,7,0,753
2018,Район 3,Женщины,5-9,Болезни сердца,"5,5",0,955
2018,Район 3,Женщины,5-9,Другие болезни органов дыхания,"5,5",0,955
2018,Район 3,Женщины,5-9,Другие болезни системы кровообращения,"5,5",0,955
2018,Район 3,Женщины,5-9,Острые респираторные заболевания,"5,5",0,955
2018,Район 3,Женщины,50-54,Болезни сердца,7,0,774
2018,Район 3,Женщины,50-54,Другие болезни органов дыхания,7,0,774
2018,Район 3,Женщины,50-54,Другие болезни системы кровообращения,7,0,774
2018,Район 3,Женщины,50-54,Острые респираторные заболевания,7,1,774
2018,Район 3,Женщины,55-59,Болезни сердца,"6,5",3,915
2018,Район 3,Женщины,55-59,Другие болезни органов дыхания,"6,5",0,915
2018,Район 3,Женщины,55-59,Другие болезни системы кровообращения,"6,5",0,915
2018,Район 3,Женщины,55-59,Острые респираторные заболевания,"6,5",0,915
2018,Район 3,Женщины,60-64,Болезни сердца,6,1,799
2018,Район 3,Женщины,60-64,Другие болезни органов дыхания,6,0,799
2018,Район 3,Женщины,60-64,Другие болезни системы кровообращения,6,0,799
2018,Район 3,Женщины,60-64,Острые респираторные заболевания,6,0,799
2018,Район 3,Женщины,65-69,Болезни сердца,"5,5",0,527
2018,Район 3,Женщины,65-69,Другие болезни органов дыхания,"5,5",0,527
2018,Район 3,Женщины,65-69,Другие болезни системы кровообращения,"5,5",0,527
2018,Район 3,Женщины,65-69,Острые респираторные заболевания,"5,5",0,527
2018,Район 3,Женщины,70-74,Болезни сердца,5,1,230
2018,Район 3,Женщины,70-74,Другие болезни органов дыхания,5,0,230
2018,Район 3,Женщины,70-74,Другие болезни системы кровообращения,5,0,230
2018,Район 3,Женщины,70-74,Острые респираторные заболевания,5,0,230
2018,Район 3,Женщины,75-79,Болезни сердца,4,11,306
2018,Район 3,Женщины,75-79,Другие болезни органов дыхания,4,0,306
2018,Район 3,Женщины,75-79,Другие болезни системы кровообращения,4,0,306
2018,Район 3,Женщины,75-79,Острые респираторные заболевания,4,0,306
2018,Район 3,Женщины,80-84,Болезни сердца,"2,5",5,214
2018,Район 3,Женщины,80-84,Другие болезни органов дыхания,"2,5",0,214
2018,Район 3,Женщины,80-84,Другие болезни системы кровообращения,"2,5",0,214
2018,Район 3,Женщины,80-84,Острые респираторные заболевания,"2,5",0,214
2018,Район 3,Женщины,85+,Болезни сердца,"2,5",13,130
2018,Район 3,Женщины,85+,Другие болезни органов дыхания,"2,5",0,130
2018,Район 3,Женщины,85+,Другие болезни системы кровообращения,"2,5",2,130
2018,Район 3,Женщины,85+,Острые респираторные заболевания,"2,5",0,130
2018,Район 3,Женщины,до 1,Болезни сердца,1,0,195
2018,Район 3,Женщины,до 1,Другие болезни органов дыхания,1,0,195
2018,Район 3,Женщины,до 1,Другие болезни системы кровообращения,1,0,195
2018,Район 3,Женщины,до 1,Острые респираторные заболевания,1,0,195
2018,Район 3,Мужчины,1-4,Болезни сердца,4,0,855
2018,Район 3,Мужчины,1-4,Другие болезни органов дыхания,4,0,855
2018,Район 3,Мужчины,1-4,Другие болезни системы кровообращения,4,0,855
2018,Район 3,Мужчины,1-4,Острые респираторные заболевания,4,0,855
2018,Район 3,Мужчины,10-14,Болезни сердца,"5,5",0,847
2018,Район 3,Мужчины,10-14,Другие болезни органов дыхания,"5,5",0,847
2018,Район 3,Мужчины,10-14,Другие болезни системы кровообращения,"5,5",0,847
2018,Район 3,Мужчины,10-14,Острые респираторные заболевания,"5,5",0,847
2018,Район 3,Мужчины,15-19,Болезни сердца,"5,5",0,767
2018,Район 3,Мужчины,15-19,Другие болезни органов дыхания,"5,5",0,767
2018,Район 3,Мужчины,15-19,Другие болезни системы кровообращения,"5,5",0,767
2018,Район 3,Мужчины,15-19,Острые респираторные заболевания,"5,5",0,767
2018,Район 3,Мужчины,20-24,Болезни сердца,6,0,657
2018,Район 3,Мужчины,20-24,Другие болезни органов дыхания,6,0,657
2018,Район 3,Мужчины,20-24,Другие болезни системы кровообращения,6,0,657
2018,Район 3,Мужчины,20-24,Острые респираторные заболевания,6,0,657
2018,Район 3,Мужчины,25-29,Болезни сердца,6,0,782
2018,Район 3,Мужчины,25-29,Другие болезни органов дыхания,6,0,782
2018,Район 3,Мужчины,25-29,Другие болезни системы кровообращения,6,0,782
2018,Район 3,Мужчины,25-29,Острые респираторные заболевания,6,0,782
2018,Район 3,Мужчины,30-34,Болезни сердца,"6,5",0,1270
2018,Район 3,Мужчины,30-34,Другие болезни органов дыхания,"6,5",0,1270
2018,Район 3,Мужчины,30-34,Другие болезни системы кровообращения,"6,5",0,1270
2018,Район 3,Мужчины,30-34,Острые респираторные заболевания,"6,5",0,1270
2018,Район 3,Мужчины,35-39,Болезни сердца,7,0,1142
2018,Район 3,Мужчины,35-39,Другие болезни органов дыхания,7,0,1142
2018,Район 3,Мужчины,35-39,Другие болезни системы кровообращения,7,0,1142
2018,Район 3,Мужчины,35-39,Острые респираторные заболевания,7,0,1142
2018,Район 3,Мужчины,40-44,Болезни сердца,7,0,928
2018,Район 3,Мужчины,40-44,Другие болезни органов дыхания,7,0,928
2018,Район 3,Мужчины,40-44,Другие болезни системы кровообращения,7,0,928
2018,Район 3,Мужчины,40-44,Острые респираторные заболевания,7,0,928
2018,Район 3,Мужчины,45-49,Болезни сердца,7,5,726
2018,Район 3,Мужчины,45-49,Другие болезни органов дыхания,7,0,726
2018,Район 3,Мужчины,45-49,Другие болезни системы кровообращения,7,0,726
2018,Район 3,Мужчины,45-49,Острые респираторные заболевания,7,1,726
2018,Район 3,Мужчины,5-9,Болезни сердца,"5,5",0,1011
2018,Район 3,Мужчины,5-9,Другие болезни органов дыхания,"5,5",0,1011
2018,Район 3,Мужчины,5-9,Другие болезни системы кровообращения,"5,5",0,1011
2018,Район 3,Мужчины,5-9,Острые респираторные заболевания,"5,5",0,1011
2018,Район 3,Мужчины,50-54,Болезни сердца,7,2,629
2018,Район 3,Мужчины,50-54,Другие болезни органов дыхания,7,0,629
2018,Район 3,Мужчины,50-54,Другие болезни системы кровообращения,7,0,629
2018,Район 3,Мужчины,50-54,Острые респираторные заболевания,7,1,629
2018,Район 3,Мужчины,55-59,Болезни сердца,"6,5",2,740
2018,Район 3,Мужчины,55-59,Другие болезни органов дыхания,"6,5",0,740
2018,Район 3,Мужчины,55-59,Другие болезни системы кровообращения,"6,5",0,740
2018,Район 3,Мужчины,55-59,Острые респираторные заболевания,"6,5",0,740
2018,Район 3,Мужчины,60-64,Болезни сердца,6,3,539
2018,Район 3,Мужчины,60-64,Другие болезни органов дыхания,6,1,539
2018,Район 3,Мужчины,60-64,Другие болезни системы кровообращения,6,0,539
2018,Район 3,Мужчины,60-64,Острые респираторные заболевания,6,0,539
2018,Район 3,Мужчины,65-69,Болезни сердца,"5,5",5,355
2018,Район 3,Мужчины,65-69,Другие болезни органов дыхания,"5,5",0,355
2018,Район 3,Мужчины,65-69,Другие болезни системы кровообращения,"5,5",0,355
2018,Район 3,Мужчины,65-69,Острые респираторные заболевания,"5,5",0,355
2018,Район 3,Мужчины,70-74,Болезни сердца,5,3,127
2018,Район 3,Мужчины,70-74,Другие болезни органов дыхания,5,0,127
2018,Район 3,Мужчины,70-74,Другие болезни системы кровообращения,5,0,127
2018,Район 3,Мужчины,70-74,Острые респираторные заболевания,5,1,127
2018,Район 3,Мужчины,75-79,Болезни сердца,4,2,92
2018,Район 3,Мужчины,75-79,Другие болезни органов дыхания,4,1,92
2018,Район 3,Мужчины,75-79,Другие болезни системы кровообращения,4,0,92
2018,Район 3,Мужчины,75-79,Острые респираторные заболевания,4,0,92
2018,Район 3,Мужчины,80-84,Болезни сердца,"2,5",0,47
2018,Район 3,Мужчины,80-84,Другие болезни органов дыхания,"2,5",1,47
2018,Район 3,Мужчины,80-84,Другие болезни системы кровообращения,"2,5",1,47
2018,Район 3,Мужчины,80-84,Острые респираторные заболевания,"2,5",0,47
2018,Район 3,Мужчины,85+,Болезни сердца,"2,5",5,24
2018,Район 3,Мужчины,85+,Другие болезни органов дыхания,"2,5",0,24
2018,Район 3,Мужчины,85+,Другие болезни системы кровообращения,"2,5",0,24
2018,Район 3,Мужчины,85+,Острые респираторные заболевания,"2,5",0,24
2018,Район 3,Мужчины,до 1,Болезни сердца,1,0,189
2018,Район 3,Мужчины,до 1,Другие болезни органов дыхания,1,0,189
2018,Район 3,Мужчины,до 1,Другие болезни системы кровообращения,1,0,189
2018,Район 3,Мужчины,до 1,Острые респираторные заболевания,1,0,189
2019,Район 1,Женщины,1-4,Болезни сердца,4,0,115
2019,Район 1,Женщины,1-4,Другие болезни органов дыхания,4,0,115
2019,Район 1,Женщины,1-4,Другие болезни системы кровообращения,4,0,115
2019,Район 1,Женщины,1-4,Острые респираторные заболевания,4,0,115
2019,Район 1,Женщины,10-14,Болезни сердца,"5,5",0,172
2019,Район 1,Женщины,10-14,Другие болезни органов дыхания,"5,5",0,172
2019,Район 1,Женщины,10-14,Другие болезни системы кровообращения,"5,5",0,172
2019,Район 1,Женщины,10-14,Острые респираторные заболевания,"5,5",0,172
2019,Район 1,Женщины,15-19,Болезни сердца,"5,5",0,122
2019,Район 1,Женщины,15-19,Другие болезни органов дыхания,"5,5",0,122
2019,Район 1,Женщины,15-19,Другие болезни системы кровообращения,"5,5",0,122
2019,Район 1,Женщины,15-19,Острые респираторные заболевания,"5,5",0,122
2019,Район 1,Женщины,20-24,Болезни сердца,6,0,117
2019,Район 1,Женщины,20-24,Другие болезни органов дыхания,6,0,117
2019,Район 1,Женщины,20-24,Другие болезни системы кровообращения,6,0,117
2019,Район 1,Женщины,20-24,Острые респираторные заболевания,6,0,117
2019,Район 1,Женщины,25-29,Болезни сердца,6,0,116
2019,Район 1,Женщины,25-29,Другие болезни органов дыхания,6,0,116
2019,Район 1,Женщины,25-29,Другие болезни системы кровообращения,6,0,116
2019,Район 1,Женщины,25-29,Острые респираторные заболевания,6,0,116
2019,Район 1,Женщины,30-34,Болезни сердца,"6,5",0,126
2019,Район 1,Женщины,30-34,Другие болезни органов дыхания,"6,5",0,126
2019,Район 1,Женщины,30-34,Другие болезни системы кровообращения,"6,5",0,126
2019,Район 1,Женщины,30-34,Острые респираторные заболевания,"6,5",0,126
2019,Район 1,Женщины,35-39,Болезни сердца,7,0,146
2019,Район 1,Женщины,35-39,Другие болезни органов дыхания,7,0,146
2019,Район 1,Женщины,35-39,Другие болезни системы кровообращения,7,0,146
2019,Район 1,Женщины,35-39,Острые респираторные заболевания,7,0,146
2019,Район 1,Женщины,40-44,Болезни сердца,7,0,128
2019,Район 1,Женщины,40-44,Другие болезни органов дыхания,7,0,128
2019,Район 1,Женщины,40-44,Другие болезни системы кровообращения,7,0,128
2019,Район 1,Женщины,40-44,Острые респираторные заболевания,7,0,128
2019,Район 1,Женщины,45-49,Болезни сердца,7,1,134
2019,Район 1,Женщины,45-49,Другие болезни органов дыхания,7,0,134
2019,Район 1,Женщины,45-49,Другие болезни системы кровообращения,7,0,134
2019,Район 1,Женщины,45-49,Острые респираторные заболевания,7,0,134
2019,Район 1,Женщины,5-9,Болезни сердца,"5,5",0,376
2019,Район 1,Женщины,5-9,Другие болезни органов дыхания,"5,5",0,376
2019,Район 1,Женщины,5-9,Другие болезни системы кровообращения,"5,5",0,376
2019,Район 1,Женщины,5-9,Острые респираторные заболевания,"5,5",0,376
2019,Район 1,Женщины,50-54,Болезни сердца,7,0,142
2019,Район 1,Женщины,50-54,Другие болезни органов дыхания,7,0,142
2019,Район 1,Женщины,50-54,Другие болезни системы кровообращения,7,0,142
2019,Район 1,Женщины,50-54,Острые респираторные заболевания,7,0,142
2019,Район 1,Женщины,55-59,Болезни сердца,"6,5",1,149
2019,Район 1,Женщины,55-59,Другие болезни органов дыхания,"6,5",0,149
2019,Район 1,Женщины,55-59,Другие болезни системы кровообращения,"6,5",0,149
2019,Район 1,Женщины,55-59,Острые респираторные заболевания,"6,5",0,149
2019,Район 1,Женщины,60-64,Болезни сердца,6,0,113
2019,Район 1,Женщины,60-64,Другие болезни органов дыхания,6,0,113
2019,Район 1,Женщины,60-64,Другие болезни системы кровообращения,6,0,113
2019,Район 1,Женщины,60-64,Острые респираторные заболевания,6,0,113
2019,Район 1,Женщины,65-69,Болезни сердца,"5,5",1,68
2019,Район 1,Женщины,65-69,Другие болезни органов дыхания,"5,5",0,68
2019,Район 1,Женщины,65-69,Другие болезни системы кровообращения,"5,5",0,68
2019,Район 1,Женщины,65-69,Острые респираторные заболевания,"5,5",0,68
2019,Район 1,Женщины,70-74,Болезни сердца,5,0,40
2019,Район 1,Женщины,70-74,Другие болезни органов дыхания,5,0,40
2019,Район 1,Женщины,70-74,Другие болезни системы кровообращения,5,0,40
2019,Район 1,Женщины,70-74,Острые респираторные заболевания,5,0,40
2019,Район 1,Женщины,75-79,Болезни сердца,4,1,40
2019,Район 1,Женщины,75-79,Другие болезни органов дыхания,4,0,40
2019,Район 1,Женщины,75-79,Другие болезни системы кровообращения,4,0,40
2019,Район 1,Женщины,75-79,Острые респираторные заболевания,4,0,40
2019,Район 1,Женщины,80-84,Болезни сердца,"2,5",0,15
2019,Район 1,Женщины,80-84,Другие болезни органов дыхания,"2,5",0,15
2019,Район 1,Женщины,80-84,Другие болезни системы кровообращения,"2,5",0,15
2019,Район 1,Женщины,80-84,Острые респираторные заболевания,"2,5",0,15
2019,Район 1,Женщины,85+,Болезни сердца,"2,5",0,7
2019,Район 1,Женщины,85+,Другие болезни органов дыхания,"2,5",0,7
2019,Район 1,Женщины,85+,Другие болезни системы кровообращения,"2,5",0,7
2019,Район 1,Женщины,85+,Острые респираторные заболевания,"2,5",0,7
2019,Район 1,Женщины,до 1,Болезни сердца,1,0,21
2019,Район 1,Женщины,до 1,Другие болезни органов дыхания,1,0,21
2019,Район 1,Женщины,до 1,Другие болезни системы кровообращения,1,0,21
2019,Район 1,Женщины,до 1,Острые респираторные заболевания,1,0,21
2019,Район 1,Мужчины,1-4,Болезни сердца,4,0,104
2019,Район 1,Мужчины,1-4,Другие болезни органов дыхания,4,0,104
2019,Район 1,Мужчины,1-4,Другие болезни системы кровообращения,4,0,104
2019,Район 1,Мужчины,1-4,Острые респираторные заболевания,4,0,104
2019,Район 1,Мужчины,10-14,Болезни сердца,"5,5",0,152
2019,Район 1,Мужчины,10-14,Другие болезни органов дыхания,"5,5",0,152
2019,Район 1,Мужчины,10-14,Другие болезни системы кровообращения,"5,5",0,152
2019,Район 1,Мужчины,10-14,Острые респираторные заболевания,"5,5",0,152
2019,Район 1,Мужчины,15-19,Болезни сердца,"5,5",0,138
2019,Район 1,Мужчины,15-19,Другие болезни органов дыхания,"5,5",0,138
2019,Район 1,Мужчины,15-19,Другие болезни системы кровообращения,"5,5",0,138
2019,Район 1,Мужчины,15-19,Острые респираторные заболевания,"5,5",0,138
2019,Район 1,Мужчины,20-24,Болезни сердца,6,0,107
2019,Район 1,Мужчины,20-24,Другие болезни органов дыхания,6,0,107
2019,Район 1,Мужчины,20-24,Другие болезни системы кровообращения,6,0,107
2019,Район 1,Мужчины,20-24,Острые респираторные заболевания,6,0,107
2019,Район 1,Мужчины,25-29,Болезни сердца,6,0,83
2019,Район 1,Мужчины,25-29,Другие болезни органов дыхания,6,0,83
2019,Район 1,Мужчины,25-29,Другие болезни системы кровообращения,6,0,83
2019,Район 1,Мужчины,25-29,Острые респираторные заболевания,6,0,83
2019,Район 1,Мужчины,30-34,Болезни сердца,"6,5",0,133
2019,Район 1,Мужчины,30-34,Другие болезни органов дыхания,"6,5",0,133
2019,Район 1,Мужчины,30-34,Другие болезни системы кровообращения,"6,5",0,133
2019,Район 1,Мужчины,30-34,Острые респираторные заболевания,"6,5",0,133
2019,Район 1,Мужчины,35-39,Болезни сердца,7,0,138
2019,Район 1,Мужчины,35-39,Другие болезни органов дыхания,7,0,138
2019,Район 1,Мужчины,35-39,Другие болезни системы кровообращения,7,0,138
2019,Район 1,Мужчины,35-39,Острые респираторные заболевания,7,0,138
2019,Район 1,Мужчины,40-44,Болезни сердца,7,0,120
2019,Район 1,Мужчины,40-44,Другие болезни органов дыхания,7,0,120
2019,Район 1,Мужчины,40-44,Другие болезни системы кровообращения,7,0,120
2019,Район 1,Мужчины,40-44,Острые респираторные заболевания,7,1,120
2019,Район 1,Мужчины,45-49,Болезни сердца,7,0,140
2019,Район 1,Мужчины,45-49,Другие болезни органов дыхания,7,0,140
2019,Район 1,Мужчины,45-49,Другие болезни системы кровообращения,7,0,140
2019,Район 1,Мужчины,45-49,Острые респираторные заболевания,7,0,140
2019,Район 1,Мужчины,5-9,Болезни сердца,"5,5",0,324
2019,Район 1,Мужчины,5-9,Другие болезни органов дыхания,"5,5",0,324
2019,Район 1,Мужчины,5-9,Другие болезни системы кровообращения,"5,5",0,324
2019,Район 1,Мужчины,5-9,Острые респираторные заболевания,"5,5",0,324
2019,Район 1,Мужчины,50-54,Болезни сердца,7,0,156
2019,Район 1,Мужчины,50-54,Другие болезни органов дыхания,7,0,156
2019,Район 1,Мужчины,50-54,Другие болезни системы кровообращения,7,0,156
2019,Район 1,Мужчины,50-54,Острые респираторные заболевания,7,0,156
2019,Район 1,Мужчины,55-59,Болезни сердца,"6,5",2,160
